dealname,dealstage,close date,associated contact
efuADtuuSma,Pending Response,10-16-2018,rfEsUPyFbBm
UpFdwqLFgZA,Closed Won,10-14-2017,cyhmohNzCrV
VibXtQlXoZn,Pending Contract,12-21-2017,lEixJkhBNTg
ZRMuLrdVVnu,Closed Won,04-05-2022,UNfEYZqfIKV
PaPVNgKvTtf,Pending Contract,09-25-2020,bBHzKORFpSd
dRGGehccsce,Pending Response,01-21-2018,CeITAqgKpHv
WCOmtFAeZyq,Closed Won,12-17-2017,zNzneMbgnzL
GNErBJUGsPN,Pending Response,12-30-2018,XalHMsyKQuJ
JmBexwipIub,Pending Response,11-29-2022,ekteyewEgjt
NhyMLoiUtev,Pending Contract,05-20-2022,PMpakmHVHLB
DSBVGrTnmYB,Pending Contract,08-26-2018,CgrVJqlvZvn
TnBqOIkHvWw,Closed Won,02-24-2018,RmMsBGMtsZz
wBCEvHSliQh,Pending Contract,12-27-2022,EvZIUofHSuN
AQvAJRffqav,Pending Contract,05-17-2020,ulUaZivvVLN
XLhKehiFrpE,Pending Contract,03-24-2018,RlfSNiOjHWf
IpFZTdNJBmH,Closed Won,05-17-2021,EydvjCGhxWS
HGJJhNxXIEP,Pending Response,02-14-2021,ugbFxPGDrhg
QFzwYTIeVbJ,Pending Contract,11-19-2019,dHVXnofOuJH
XXEWRpoqAUX,Pending Response,12-13-2021,wCUgOydtuvr
uRkKmGzPxSH,Pending Contract,06-13-2020,ZHVJXLYyRUJ
SEpoIGLwxpQ,Closed Won,05-25-2021,OZKsvLzKigq
JARgZdMDHZL,Pending Response,10-05-2017,mHbSluRJhkE
IXAieIRUbCi,Pending Response,04-01-2017,BKmrNoHDEWm
PJUtFIzvGxr,Pending Response,05-29-2017,AYkIpwlEKdq
gjChzJOoLyR,Pending Response,12-01-2016,abBsxCQQsti
MAGsmHfuipw,Pending Response,05-07-2021,favACGLAsVn
FhYDFVzxjxx,Closed Won,09-24-2019,xpVgLEwWIfX
fKZNbGbudfo,Pending Response,12-24-2018,SSPiBscvjwZ
DFRtZzeRpsX,Pending Response,05-28-2018,wsBxpXKoCsJ
kOEkoAhjpPP,Pending Contract,08-09-2021,PwILOVKinMk
syEqDCNKVTu,Closed Won,08-02-2018,LHqMUVitfWv
FQOfkvGphNP,Pending Response,06-01-2019,QtyaztghiLo
ssWhJPWyfmo,Pending Contract,04-27-2018,CRexJvThxrI
EKAaXEfUlPJ,Closed Won,06-25-2021,FXbniEkTspN
pQONeeRdjiB,Pending Response,01-09-2022,WQEqjKCVQRK
KAUqCaNaJdM,Closed Won,06-12-2018,IRflmIiLuEy
ApfRWWPjohK,Pending Response,07-23-2017,wNHSDRrNHeO
smCzdqwwGeM,Closed Won,12-04-2021,iKvxhCaGCeQ
LsudCTOkyyp,Closed Won,10-12-2021,JvjQkVTBKUt
avswKApNXvk,Closed Won,09-16-2018,lbyptWlIVxY
eJlLtWRGJzo,Pending Response,04-27-2018,VFMSDkbKRrJ
yqmAFemjoGJ,Closed Won,03-13-2017,JvDFihXqMNY
WhCXVcrPUVe,Pending Contract,07-21-2019,NgoheeGhrnT
TcYCutMxcJg,Pending Response,02-02-2022,hdkMfTLaGdq
XLPaSRLMjvi,Pending Response,08-24-2021,FAPlzoTVMCi
fIuWCzfUBKz,Pending Contract,06-22-2021,QiXPsJvwBVz
kvHGYlwBGkh,Pending Contract,02-14-2020,NzRYgslDHPo
iEhuhgcIvvz,Closed Won,04-13-2021,IBLtvRVyhUA
yeAQYcczXgR,Closed Won,09-02-2022,esVtfyfIMaI
CIuKYSPwATv,Pending Response,03-03-2020,qlwgZupoJVh
DibYdFtMYqm,Closed Won,12-29-2017,lsIuwDHlCeV
SCSkQcQSSSd,Pending Contract,04-29-2021,bZjQjXKHDcb
yRCeSYaivWZ,Closed Won,03-24-2017,NgoheeGhrnT
VMtxDtpvjoI,Pending Response,07-30-2021,PTkRhsVwLfs
oNtUtNLLJPl,Pending Response,05-03-2022,SJlfYRpxkyS
StQkySsDhlk,Pending Contract,05-17-2019,sMQWAEHgMtR
feUCDXwlwMz,Pending Contract,04-02-2020,wlvVfSQzRWM
WHOcTvgwHes,Closed Won,07-19-2021,pnmDTDoXMNr
wpUWYNqRVay,Closed Won,08-15-2017,qLcMSuaeLWF
dRfZbvgNnek,Closed Won,07-21-2019,KkuyibHsVNv
SqVmNvPhDCC,Pending Contract,12-21-2021,ADIZkuQCzby
IAhgMRgeFRn,Pending Contract,07-09-2019,YvvoSgryTsT
ClpkAFeTQlm,Closed Won,10-31-2018,tngvneewaLv
xwcGMvqRlpb,Pending Contract,02-11-2018,kmUWSBwFaex
IdpwFAodpUX,Pending Response,05-31-2020,EYHsnUJKMLd
dzFEZFcUAml,Pending Contract,07-03-2022,htoIksBOIyS
JRJIrLFfoiX,Pending Contract,08-14-2022,CRexJvThxrI
kWGoTeGjxXx,Pending Contract,04-07-2018,YPklUiWATtw
CMGRCAFFSGk,Closed Won,04-02-2017,NGuCylgQGLc
vHLWCuHnZqo,Closed Won,05-12-2020,VsoxeLHvgzM
hvUCypOqWzz,Pending Contract,06-05-2020,IhTFjIADoYZ
ULYxVsNTqir,Pending Contract,02-11-2020,mraFbBEtUpw
fYGbRjraRQv,Pending Response,02-03-2020,PzhGbkWUCkH
VNNvNEkBCRa,Closed Won,02-27-2021,DHhCliPqQwt
NiVxkoaTOdq,Closed Won,01-02-2018,gzWkSzYUiPF
SLPIKfVgmDJ,Closed Won,03-31-2018,VAUGWqdGYeR
woJPJHrEZwg,Pending Contract,10-07-2017,QStdQDRCeLk
HpumiJKtsyD,Pending Response,09-09-2018,xcNNSbBywyC
NUTnrDWsbhM,Closed Won,12-15-2018,LjUSdsIWoLV
RqBZxtvOuxE,Closed Won,07-08-2018,xAxvwhwZiur
ZwWClqpYyNi,Pending Contract,12-03-2017,ifgQfWlkgIS
AXtfBnxYAfp,Pending Contract,03-24-2017,YvvoSgryTsT
uHDjWzdtPpZ,Pending Response,01-20-2017,wsBxpXKoCsJ
uXLoNylajKA,Closed Won,09-02-2022,lsIuwDHlCeV
vvwZpmYmMCP,Pending Response,04-02-2019,yzOcgVGSFUJ
LsKaJmHNWls,Pending Contract,12-08-2021,cyhmohNzCrV
rgnVHJCrgUP,Pending Contract,07-26-2019,yCCHVLiEXhO
mLlJWieHgtf,Closed Won,08-16-2021,UUMbelirtVE
caiSjqUZnHe,Pending Response,09-20-2020,OYquypqksMg
YnkZDwGPVMH,Pending Contract,11-02-2017,iQrgKeaxoue
XEodsnLQNzB,Closed Won,03-12-2018,IGTBnsQxLON
XgvUrSZVpdy,Closed Won,06-11-2018,YLWnfINLZos
IBLwpLbUYFZ,Closed Won,10-18-2018,LHqMUVitfWv
cleReMeArWh,Pending Contract,07-03-2020,oaLsuBTybCE
gomgWnYlfFN,Closed Won,03-30-2019,PXArInTwtDq
vOevUFjcUcO,Closed Won,12-10-2019,ZHVJXLYyRUJ
TflHmRaeItH,Pending Response,12-04-2020,cyhmohNzCrV
ARAIWnYPmMo,Pending Response,04-29-2018,PwILOVKinMk
KTIVeEQFZxM,Closed Won,04-20-2018,YsqqlgUvrQP
rYbktYgSLla,Closed Won,10-31-2018,EYHsnUJKMLd
bgbPtjaQwwB,Closed Won,03-18-2018,ShMKdYJtHFa
WiGQGgrhgAN,Pending Contract,06-28-2018,cxEvWVlQwtT
JqOcvipdOvi,Pending Contract,07-31-2022,EPnMbIOEhwl
iciNNStGuhA,Closed Won,10-30-2020,iKvxhCaGCeQ
pJXLlqYeNXI,Closed Won,05-20-2021,BgqWGPtBhoa
msMcKVpHdxp,Pending Contract,08-17-2021,BqeEVHoBVME
sIBCGlWhMXv,Closed Won,05-20-2017,dAsbxtQxtXn
RVJBJejxYld,Pending Response,02-01-2022,yqVgGDVCHKW
UVqAxaiwJKY,Pending Contract,05-05-2018,eXgrVyHysSV
UMfgaIihzLu,Pending Contract,01-21-2018,zlVXWuolNno
XJyonWYGalO,Pending Contract,06-22-2021,vWtFapECDQg
pmQREUKSMyl,Closed Won,12-13-2016,RkphHYHqLyW
dRJwBMdNazy,Pending Response,08-07-2021,MkFWbjcxiSe
LjfuTJgeGhX,Pending Response,11-06-2022,pxgBRmCryTz
uuTodrkjwnB,Pending Response,01-20-2019,vWtFapECDQg
iUkaDuxNXlM,Pending Contract,07-30-2021,BqeEVHoBVME
zeDPoAiDNep,Pending Response,12-11-2019,ZmNrwxIHTJV
lSRJOIAEDfi,Closed Won,08-01-2018,KkuyibHsVNv
BuPDnhGhrRr,Pending Response,10-15-2018,IvKEtHpgnIc
XguRMXgcrAN,Pending Response,01-16-2018,dAsbxtQxtXn
ohkfVKEdTBG,Pending Contract,12-12-2022,lhMSRoRNzFU
AKwFcKwLMqp,Pending Response,11-06-2022,oXbEfunwDUu
YftAdFfdsrj,Pending Contract,09-23-2019,TkPJirllnBI
lYSEHxoSzSS,Pending Contract,04-02-2017,JvjQkVTBKUt
sWatIsrpDQs,Closed Won,04-20-2018,qwCTCMDMQNe
VhhyptoyYsr,Closed Won,05-20-2017,fVRxHVmGlhZ
JQWQrpuYIyu,Pending Contract,05-01-2019,mSfYYhBgeSP
mErgjNGVuuj,Pending Response,05-26-2018,fcDZsAocXDu
YijXLjjPCee,Closed Won,07-05-2017,GRVQIOWkPyX
UavckYOqmZH,Closed Won,09-23-2019,toKkehwmwRp
FLYedmCcbbX,Closed Won,05-21-2019,OZKsvLzKigq
gUplfsUkUKL,Closed Won,11-10-2021,PKRdxjkHqkL
rWyLeMWUYUE,Pending Contract,06-15-2019,RStffLYdpoy
qyyBBQSIPiT,Pending Contract,01-11-2022,UUMbelirtVE
zvPrFrFtwmn,Pending Response,06-29-2020,mraFbBEtUpw
qHkcDgBIuwT,Pending Response,02-17-2017,zlVXWuolNno
SIJzxDtiboH,Pending Response,12-08-2016,PMZTMnNupjR
lwhDhWXBQql,Pending Contract,11-23-2017,MmSkXLpRtMj
kuYCbbSQYar,Pending Contract,08-01-2017,tuouvABTshv
tFnHbVpQfhI,Pending Response,11-26-2018,DqhXZZZMhcc
UkrmDrjmYLj,Pending Contract,03-19-2019,ACHydHEySXt
GbxxlUSGaQM,Closed Won,07-04-2018,PmEkPoOdRpY
LsnaUuTpHgt,Pending Contract,04-17-2021,PTwliWpkxlZ
KKDibVAUNPc,Pending Response,07-20-2018,tIEVOYcfTVS
mgYpzuVvPBl,Pending Contract,10-28-2020,xpVgLEwWIfX
aQUuNtrHSET,Closed Won,12-20-2022,QtyaztghiLo
jAhRAONbNXv,Pending Contract,09-21-2020,AvrZkUIahyl
tDQKHKkzKqQ,Pending Contract,09-29-2019,LjUSdsIWoLV
gaBpxKkvrvX,Pending Response,05-13-2020,AUuCNtGmMQM
viKjvNOVePE,Pending Contract,07-24-2020,TZTVdXIudGG
cvoTFCHGBJG,Closed Won,06-28-2021,tIEVOYcfTVS
UONoEfeVBXl,Pending Response,05-28-2018,PQtzZjDswNF
yMzKTtxUtLj,Pending Contract,11-14-2017,RmMsBGMtsZz
QPeDLqFwXsV,Pending Response,12-20-2021,LhzXQlWOGSg
bvzcIILenKr,Pending Contract,04-14-2017,EEJhqqGHcbG
jCLHOPYIrIv,Pending Response,09-21-2018,NobHcZgyogt
duMAaoaIcbv,Pending Contract,12-27-2017,VsoxeLHvgzM
zSJiIHJEWbI,Pending Response,07-11-2019,zZSzDBDgJMb
aeVJXroVmUC,Pending Response,09-15-2019,QiXPsJvwBVz
rVlkTooQiPb,Pending Contract,12-05-2017,oJbdLosARcz
QcQZAGtdcQo,Closed Won,09-30-2017,EEJhqqGHcbG
NnhYTigXPcl,Pending Response,12-28-2018,EqoNBSlrqGG
ESqIlSANaou,Pending Contract,10-04-2019,tngvneewaLv
imXqCjxHJrw,Pending Response,01-23-2019,GgTdHQgrvIg
tOSiAKklAxc,Closed Won,09-09-2019,zZSzDBDgJMb
LNuCPyBbOGv,Pending Contract,07-02-2019,AuAYytIqrvV
aNMeWYVRFBr,Pending Response,07-10-2017,VAUGWqdGYeR
HxsmgQBwpzw,Closed Won,06-14-2018,PTkRhsVwLfs
ZMJeDnzgLGP,Pending Response,04-10-2019,mdqbJcIPjuc
APNadRQJeWk,Closed Won,11-18-2022,LexcpYvXiZz
ojOhhAordhj,Closed Won,07-12-2019,lZruyFtQlyE
HDqiZLPSvju,Closed Won,06-29-2020,dOvKQzKYgeO
TZzVDgRTEfY,Closed Won,06-12-2019,oaLsuBTybCE
amZLCChmJkz,Pending Response,10-20-2022,rOqgVIijIiW
cWEwckBHkEa,Closed Won,08-23-2022,TmwPurbyYed
PaiCufKrhsz,Pending Contract,05-24-2017,hZhhYSxDBZB
AUCskMazcSA,Pending Response,08-29-2022,WwCLCUSZEkq
cpBRLzMosPp,Closed Won,01-23-2021,KpRDyWfqevq
uXSOGMWmGui,Closed Won,10-19-2018,LhzXQlWOGSg
CMhDyklXRZa,Closed Won,06-30-2022,eCERDYYUClU
JCfJipKhYnu,Pending Response,05-02-2022,XPoloyisGrs
BhJjmHboNnv,Closed Won,06-13-2020,mKtiyqSITYr
NWCiPRHiwbN,Pending Contract,01-14-2017,pemQbbZPlVF
HZdSFQiyRIS,Pending Contract,07-22-2018,mnZLjtKAVNK
VDrkuEITrgj,Pending Response,05-09-2022,yJDuyFyOXZs
TvjTqRjPZkn,Pending Response,06-05-2022,IKRFaenhYkq
RvhDukJNJra,Pending Response,06-16-2021,PYbOYUAkZbn
ukFvfsuTCQw,Pending Response,08-31-2017,dHVXnofOuJH
kiBWlAdgqEx,Closed Won,03-01-2021,PMpakmHVHLB
kixskZowdgQ,Closed Won,07-26-2020,iQrgKeaxoue
cyimYbybEPy,Pending Response,03-17-2021,AoHEqMuedgt
bvjbXVGThiT,Closed Won,07-14-2017,kDRVKmPtnEm
KIDCfDKPoGq,Pending Contract,07-01-2017,sMQWAEHgMtR
BZtLbvrfzNI,Pending Contract,06-12-2021,yZCpXzsWoai
poJGDnNhKol,Pending Contract,09-02-2019,ugbFxPGDrhg
fUyBLGQPIiZ,Pending Response,11-12-2018,lZruyFtQlyE
BNxlIUSrTaB,Pending Contract,11-01-2020,HuxuiTeCnFC
ySntzpsTIrE,Closed Won,09-09-2017,yBzCkGBIkxh
yDlEksdpAOD,Closed Won,04-16-2019,tIEVOYcfTVS
JfWnFoInVuH,Pending Response,08-04-2022,TjCDZEEylpO
DUavHXfHrSN,Closed Won,03-17-2017,ufkabytLrxo
CNdCLdMzQSR,Pending Contract,01-31-2017,hZhhYSxDBZB
GVUpHcOfKxd,Pending Contract,12-19-2018,mNdnoOddIHB
divXVTmsMJx,Pending Response,01-31-2018,esVtfyfIMaI
IUbCNKwcJoW,Pending Contract,09-02-2021,brYSbvvWLgS
iBKpYNEIlTl,Closed Won,12-27-2018,cJwmjdrswWw
iWmwQjDbHVU,Pending Response,05-03-2022,PqIKmSdjZTT
VkCYCcACPkE,Closed Won,03-14-2020,favACGLAsVn
BEzhmRVfwTW,Closed Won,04-18-2017,bAaiCuSliAp
BSYeaJmrCmO,Closed Won,08-17-2019,HuxuiTeCnFC
uUlJtmUGTYq,Pending Contract,01-19-2022,lsIuwDHlCeV
